,dsstox_substance_id,med,mad,ntst,nhit,burstpct,used_in_global_mad_calc,global_mad,cyto_pt,cyto_pt_um,lower_bnd_um
1858,DTXSID2020686,1.718577325054429,0.17302878090436313,73.0,14.0,0.1917808219178082,True,0.1765603253086648,1.718577325054429,52.30910929620167,15.448856854682582
1859,DTXSID2020688,1.4619947313627453,0.21709840609177408,70.0,20.0,0.2857142857142857,True,0.1765603253086648,1.4619947313627453,28.97308438832506,8.556846778241246
1860,DTXSID2020713,,,71.0,0.0,0.0,False,0.1765603253086648,3.0,1000.0,295.33779226105804
1861,DTXSID2020717,1.6684079274691042,0.29268836837922757,69.0,13.0,0.18840579710144928,True,0.1765603253086648,1.6684079274691042,46.60236182669039,13.763438656045743
1862,DTXSID2020761,,,69.0,0.0,0.0,False,0.1765603253086648,3.0,1000.0,295.33779226105804
1863,DTXSID2020767,1.854000917799673,0.006109131920041929,71.0,3.0,0.04225352112676056,False,0.1765603253086648,3.0,1000.0,295.33779226105804
1864,DTXSID2020844,,,69.0,0.0,0.0,False,0.1765603253086648,3.0,1000.0,295.33779226105804
1865,DTXSID2020846,1.742756182660089,0.12081269146899393,69.0,13.0,0.18840579710144928,True,0.1765603253086648,1.742756182660089,55.30395400220932,16.333347678319598
1866,DTXSID2020890,1.6299606756080203,0.0,71.0,1.0,0.014084507042253521,False,0.1765603253086648,3.0,1000.0,295.33779226105804
1867,DTXSID2020892,1.84700008827589,0.0,70.0,1.0,0.014285714285714285,False,0.1765603253086648,3.0,1000.0,295.33779226105804
1868,DTXSID2020894,1.4072613621293564,0.3985356430065192,70.0,25.0,0.35714285714285715,True,0.1765603253086648,1.4072613621293564,25.542380024658907,7.5436301255757074
1869,DTXSID2020898,0.9723077015969643,0.7086308965304023,69.0,34.0,0.4927536231884058,True,0.1765603253086648,0.9723077015969643,9.382265135259138,2.7709374714553294
1870,DTXSID2020921,,,72.0,0.0,0.0,False,0.1765603253086648,3.0,1000.0,295.33779226105804
